scenario_id,scenario_name,current_registry_status,current_implementation_status,required_data_class,required_data_rationale,required_data_fields,implementation_evidence,missing_data_reason,recommended_action,priority
HR-05,Ghost Training,Registered,Unimplemented,C,"인사 마스터 정보 외에 실제 출퇴근 카드 태깅 시간, 퇴직금 계산 대장, 외부 교육 이수증 정보 등 추가 원천 대조 필요","training_expense_ledger, training_attendance_lists, certificates_registry",N/A,교육비 지출 전표에 대응하는 외부 교육 이수증 및 교육 참석자 대장 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
HR-06,Duplicate Benefit Payout,Registered,Unimplemented,C,"수혜 자격 요건 테이블, 항공 임차 계약 상세 내역 등 추가 원천 데이터 대조 필요","payroll_ledger, bonus_payment_register",N/A,동일 포상금 중복 지급 여부를 검증할 상세 성과급 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
HR-07,Unauthorized Pay Raise,Registered,Unimplemented,C,"인사 마스터 정보 외에 실제 출퇴근 카드 태깅 시간, 퇴직금 계산 대장, 외부 교육 이수증 정보 등 추가 원천 대조 필요","hr_salary_table_logs, system_update_logs, loa_approval_logs",N/A,인사 급여 테이블 변경 내역 및 전결 승인 문서 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
HR-08,Expat Housing Abuse,Registered,Unimplemented,C,"수혜 자격 요건 테이블, 항공 임차 계약 상세 내역 등 추가 원천 데이터 대조 필요","expat_housing_contracts, rental_payments_ledger",N/A,주외 주거 지원 계약서 정보 및 임차 대장 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
HR-09,Family Hiring Proxy,Registered,Unimplemented,C,"수혜 자격 요건 테이블, 항공 임차 계약 상세 내역 등 추가 원천 데이터 대조 필요","employee_relatives_disclosure, payroll_ledger",N/A,친인척 관계 신고서 데이터베이스 및 임직원 신상 정보 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
HR-10,Dossier Access Abuse,Registered,Unimplemented,E,인사 시스템의 개인 정보 접근 감사 로그 등은 회계 데이터 기반 비즈니스 감사 범위 제외,"iam_dossier_access_logs, employee_id",N/A,인사 시스템의 개인 정보 접근 상세 감사 로그 수집 범위 이탈,보류,HOLD
IN-01,Shrinkage Peak,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","inventory_ledger, stock_movement_logs, physical_count_sheets",N/A,물류센터별 재고수불부 및 실사 조사 원량 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-02,Phantom Inventory,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","inventory_ledger, physical_count_sheets",N/A,전표상 재고 자산과 실제 물류센터 실사 조사 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-03,Obsolete Stock Concealment,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","inventory_aging_report, stock_movement_logs",N/A,장기 미이동 재고 평가 분석표(Inventory Aging) 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-04,Inventory Cycle Abuse,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","inventory_cycle_count_logs, physical_count_sheets",N/A,순환 실사 로그 및 실사 수량 정정 이력 상세 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-05,Unauthorized Scrapping,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","scrap_logs, physical_count_sheets, scrapped_items_specs",N/A,자재 폐기 대장 및 폐기 심사 결재 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-06,Valuation Skew,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","inventory_valuation_ledger, unit_cost_calculation_sheets",N/A,선입선출법(FIFO) 또는 가중평균법 계산식 세부 명세 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-07,Loading Dock Weakness,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","scm_gate_pass_logs, scm_shipping_logs",N/A,물류센터 정문 게이트 통과 차량 차량번호 및 화물 검수 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-08,Inter-company Transfer Loop,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요",inventory_stock_movement_transfer_logs,N/A,법인 내 지점/센터 간 재고 이전 상세 이력 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-09,Sample Asset Leakage,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요",sample_asset_tracking_logs,N/A,샘플 자재 반출 및 회수 내역 원장 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IN-10,BOM Discrepancy,Registered,Unimplemented,C,"SCM 물류센터 수불 원장, 이동 기록, 실물 실사 카운팅 시트 및 생산 BOM 등 대량의 SCM 추가 원천 데이터 필요","production_bom_master, scm_stock_movements, production_yield_reports",N/A,제품 구성비(BOM) 마스터 정보 및 실제 자재 투입 이력 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
IT-01,Access Privilege Escalation,Registered,Unimplemented,D,"Active Directory 관리자 로그, VPN 로그, SIEM 이벤트 허브 및 GitLab 커밋 정보 등 실시간 시스템 API 연동 필요","iam_privilege_logs, active_directory_api, system_audit_trails",N/A,계정 권한 관리(IAM) 및 Active Directory 계정 권한 부여 이력 API 연동 부재,IT/인프라 보안 시스템 API 연동 아키텍처 수립 및 연계 모듈 개발,P3
IT-02,Shadow IT Usage,Registered,Unimplemented,E,"네트워크 CASB 프록시, DLP 엔드포인트 로그, 자산 솔루션 데이터 등은 제품 정체성을 이탈하여 보류","network_casb_logs, dns_queries_log",N/A,사내 비승인 SaaS 사용량 모니터링을 위한 CASB/DNS 로그 수집 불가,보류,HOLD
IT-03,Data Exfiltration Signal,Registered,Unimplemented,E,"네트워크 CASB 프록시, DLP 엔드포인트 로그, 자산 솔루션 데이터 등은 제품 정체성을 이탈하여 보류","dlp_agent_logs, usb_storage_logs, email_attachment_logs",N/A,임직원 대량 다운로드 감지를 위한 정보유출방지(DLP) 시스템 로그 수집 불가,보류,HOLD
IT-04,Ghost Access,Registered,Unimplemented,D,"Active Directory 관리자 로그, VPN 로그, SIEM 이벤트 허브 및 GitLab 커밋 정보 등 실시간 시스템 API 연동 필요","iam_active_accounts, hr_employee_active_list_api",N/A,퇴사자 명단과 IAM 계정 활성 상태 간의 실시간 대조용 API 연동 부재,IT/인프라 보안 시스템 API 연동 아키텍처 수립 및 연계 모듈 개발,P3
IT-05,VPN Access Anomaly,Registered,Unimplemented,D,"Active Directory 관리자 로그, VPN 로그, SIEM 이벤트 허브 및 GitLab 커밋 정보 등 실시간 시스템 API 연동 필요","firewall_vpn_logs_api, ip_geolocation_database",N/A,사내 VPN 로그 및 방화벽 접속 IP 지오로케이션 조회 API 연동 부재,IT/인프라 보안 시스템 API 연동 아키텍처 수립 및 연계 모듈 개발,P3
IT-06,Backup Non-compliance,Registered,Unimplemented,E,"네트워크 CASB 프록시, DLP 엔드포인트 로그, 자산 솔루션 데이터 등은 제품 정체성을 이탈하여 보류","backup_system_restore_logs, backup_agent_configs",N/A,백업 복구 테스트 주기 통제를 위한 백업 솔루션 데이터 획득 불가,보류,HOLD
IT-07,System Log Inactivity,Registered,Unimplemented,D,"Active Directory 관리자 로그, VPN 로그, SIEM 이벤트 허브 및 GitLab 커밋 정보 등 실시간 시스템 API 연동 필요","siem_security_logs_api, critical_db_syslog_streams",N/A,보안 정보 이벤트 관리(SIEM) 시스템 및 critical DB syslog 스트림 API 연동 부재,IT/인프라 보안 시스템 API 연동 아키텍처 수립 및 연계 모듈 개발,P3
IT-08,Unpatched Vulnerability,Registered,Unimplemented,E,"네트워크 CASB 프록시, DLP 엔드포인트 로그, 자산 솔루션 데이터 등은 제품 정체성을 이탈하여 보류","security_vulnerability_scanner_logs, patch_management_logs",N/A,취약점 스캐너 및 패치 관리 솔루션 데이터 수집 불가,보류,HOLD
IT-09,Shared Account Usage,Registered,Unimplemented,E,"네트워크 CASB 프록시, DLP 엔드포인트 로그, 자산 솔루션 데이터 등은 제품 정체성을 이탈하여 보류","identity_monitoring_logs, multi_factor_authentication_logs",N/A,계정 동시 다발 접속 감지를 위한 인증 관리자 상세 데이터 획득 불가,보류,HOLD
IT-10,Dev/Ops SoD Violation,Registered,Unimplemented,D,"Active Directory 관리자 로그, VPN 로그, SIEM 이벤트 허브 및 GitLab 커밋 정보 등 실시간 시스템 API 연동 필요","github_gitlab_repository_api, cicd_deployment_access_logs_api",N/A,개발 리포지토리 커밋 정보와 배포 시스템 전결 API 연동 부재,IT/인프라 보안 시스템 API 연동 아키텍처 수립 및 연계 모듈 개발,P3
ITX-01,Rootkit Signal,Registered,Unimplemented,E,"시스템 바이너리 위변조, 포트 포워딩, API Key 누출, 랜섬웨어 및 보안 로그 Wiping 검사는 사이버 보안(SIEM/EDR) 영역으로 제품 범위 외","system_binary_file_metadata, endpoint_file_integrity_logs",N/A,OS 시스템 실행 파일 변조 여부(Rootkit) 감지를 위한 보안 로그 데이터 획득 불가능,보류 (제품 정체성 범위를 벗어난 보안 로그 감사 영역),HOLD
ITX-02,Unauthorized Port Forwarding,Registered,Unimplemented,E,"시스템 바이너리 위변조, 포트 포워딩, API Key 누출, 랜섬웨어 및 보안 로그 Wiping 검사는 사이버 보안(SIEM/EDR) 영역으로 제품 범위 외","network_traffic_analysis_logs, packet_capture_files",N/A,네트워크 프록시 및 비인가 포트 포워딩 감지를 위한 원천 네트워크 로그 수집 불가,보류 (제품 정체성 범위를 벗어난 보안 로그 감사 영역),HOLD
ITX-03,API Key Leakage,Registered,Unimplemented,E,"시스템 바이너리 위변조, 포트 포워딩, API Key 누출, 랜섬웨어 및 보안 로그 Wiping 검사는 사이버 보안(SIEM/EDR) 영역으로 제품 범위 외","source_code_repository_logs, git_commit_diffs",N/A,코드 리포지토리(GitHub 등) 소스코드 스캐닝 및 API 키 누출 탐지 데이터 범위 이탈,보류 (제품 정체성 범위를 벗어난 보안 로그 감사 영역),HOLD
ITX-04,Log Wiping,Registered,Unimplemented,E,"시스템 바이너리 위변조, 포트 포워딩, API Key 누출, 랜섬웨어 및 보안 로그 Wiping 검사는 사이버 보안(SIEM/EDR) 영역으로 제품 범위 외","system_event_logs_1102, security_event_log_cleared_events",N/A,윈도우 이벤트 로그 삭제(EventID 1102) 감지를 위한 OS 감사 로그 수집 불가,보류 (제품 정체성 범위를 벗어난 보안 로그 감사 영역),HOLD
ITX-05,Ransomware Precursor,Registered,Unimplemented,E,"시스템 바이너리 위변조, 포트 포워딩, API Key 누출, 랜섬웨어 및 보안 로그 Wiping 검사는 사이버 보안(SIEM/EDR) 영역으로 제품 범위 외","edr_agent_logs, endpoint_process_monitoring_logs, network_beacon_signals",N/A,랜섬웨어 침투 전조(PsExec/CobaltStrike) 감지를 위한 호스트 보안 프로세스 로그 획득 불가,보류 (제품 정체성 범위를 벗어난 보안 로그 감사 영역),HOLD
LDG-01,고액 상위 1% 전표 리스트,Registered,Implemented,A,GL의 분개 금액을 정렬하여 상위 1% 임계치 초과 여부 판단 가능,"amount, event_date, account_code, entity_id (vendor), description",src-tauri/src/ledger_engine.rs (run_ledger_only_scan),None (Implemented),None (Monitor performance),P1
LDG-02,라운드 금액 반복 패턴,Registered,Implemented,A,"GL의 분개 금액에 대해 100,000/1,000,000 등 라운드 금액의 반복 빈도수만으로 탐지 가능","amount, event_date, account_code, entity_id (vendor), description",src-tauri/src/ledger_engine.rs (run_ledger_only_scan),None (Implemented),None (Monitor performance),P1
LDG-03,동일 금액 반복 발생 (Short Interval),Registered,Unimplemented,A,"GL의 일자, 금액, 계정코드, 거래처 정보만을 비교 분석하여 판단 가능","amount, event_date, entity_id (vendor)",N/A,탐지 알고리즘(동일 거래처/금액 단기 반복 발생 탐지 루프) 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
LDG-04,주말 / 공휴일 고액 전표,Registered,Unimplemented,A,"GL의 일자, 금액, 계정코드, 거래처 정보만을 비교 분석하여 판단 가능","amount, event_date",N/A,탐지 알고리즘(주말/공휴일 고액 전표 필터 및 달력 연동) 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
LDG-05,계정 사용 액티비티 변동 (Account Volatility),Registered,Implemented,A,GL의 특정 계정별 월간 집행액 합계를 계산하여 이전 평균 대비 300% 급증 여부 판단 가능,"amount, event_date, account_code, entity_id (vendor), description",src-tauri/src/ledger_engine.rs (run_ledger_only_scan),None (Implemented),None (Monitor performance),P1
LDG-06,특정 부서 집중 거래 (Departmental Outlier),Registered,Implemented,A,GL의 특정 부서 및 특정 거래처 간의 지출 점유율(90% 이상) 계산만으로 탐지 가능,"amount, event_date, account_code, entity_id (vendor), dept",src-tauri/src/ledger_engine.rs (run_ledger_only_scan),None (Implemented),None (Monitor performance),P1
LDG-07,적요 키워드 위험 탐지,Registered,Implemented,A,GL의 전표 적요 텍스트 내 사전에 정의된 위험 키워드 포함 여부만으로 판단 가능,"amount, event_date, account_code, entity_id (vendor), description",src-tauri/src/ledger_engine.rs (run_ledger_only_scan),None (Implemented),None (Monitor performance),P1
LDG-08,승인 한도 경계선 거래 (Threshold Pattern),Registered,Unimplemented,A,"GL의 일자, 금액, 계정코드, 거래처 정보만을 비교 분석하여 판단 가능","amount, event_date, account_code",N/A,탐지 알고리즘(전결 권한 한도 직전 금액 경계선 거래 패턴 감지) 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
LDG-09,신규 원장/거래처 급증 (New Vendor Spike),Registered,Unimplemented,B,GL의 전표 거래 정보 외에 거래처 마스터의 신규 등록 정보 매핑 필요,"amount, event_date, entity_id (vendor), vendor_registration_date",N/A,보조 데이터 모델(거래처 마스터 내 신규 등록일자 속성) 부재,거래처 마스터 업로드 데이터 모델 설계 및 UI 파이프라인 구축,P2
LDG-10,벤더 노출도 분석 (Vendor Concentration),Registered,Unimplemented,A,"GL의 일자, 금액, 계정코드, 거래처 정보만을 비교 분석하여 판단 가능","amount, entity_id (vendor)",N/A,탐지 알고리즘(특정 벤더 매입 집중도 HHI/CR1 계산 로직) 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
PC-01,입찰 로테이션 (Bid Rotation),Registered,Unimplemented,C,"구매 RFP 제안 이력, 들러리 제안서 해시, 단가 설계 변경 대장 등 추가 원천 SCM 데이터 필요",bid_logs_rfq_submissions_history,N/A,입찰 시스템 내 제안 가격 및 낙찰 사이클 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PC-02,유령 입찰 (Phantom Bids),Registered,Unimplemented,C,"구매 RFP 제안 이력, 들러리 제안서 해시, 단가 설계 변경 대장 등 추가 원천 SCM 데이터 필요","bid_proposal_files, bid_logs_registry",N/A,들러리 입찰 식별용 입찰 제안서 문서 메타데이터 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PC-03,설계 변경 남용 (Change Order),Registered,Unimplemented,C,"구매 RFP 제안 이력, 들러리 제안서 해시, 단가 설계 변경 대장 등 추가 원천 SCM 데이터 필요","change_order_logs, contract_variations_history",N/A,설계 변경 로그 및 계약 세부 단가 조정 내역 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PC-04,Exclusive Distributor Mockery,Registered,Unimplemented,E,수의계약 정당성 평가 서본 텍스트에 대한 주관적 정성 분석이나 임직원과 벤더 간의 배임/리베이트 정밀 조사는 회계 감사 범위 제외,sole_source_justification_letters_text,N/A,단일 수의계약 정당성 평가 서신에 대한 비정형 텍스트 유사도 정성 평가 영역,보류,HOLD
PC-05,Inventory Parking,Registered,Unimplemented,C,"구매 RFP 제안 이력, 들러리 제안서 해시, 단가 설계 변경 대장 등 추가 원천 SCM 데이터 필요","supplier_inventory_reports, scm_stock_movement_logs",N/A,협력사 보관 재고 원장 및 SCM 재고 흐름 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PC-06,Product Substitution,Registered,Unimplemented,C,"구매 RFP 제안 이력, 들러리 제안서 해시, 단가 설계 변경 대장 등 추가 원천 SCM 데이터 필요","receiving_quality_control_logs, purchase_specifications",N/A,자재 검수 성적서 및 구매 사양서(스펙 정보) 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PC-07,Kickback - Consultant,Registered,Unimplemented,E,수의계약 정당성 평가 서본 텍스트에 대한 주관적 정성 분석이나 임직원과 벤더 간의 배임/리베이트 정밀 조사는 회계 감사 범위 제외,"procurement_employee_relatives_master, consulting_company_ownership_registry",N/A,구매 담당자와 사외 자문 업체 간의 리베이트를 추적하기 위한 정밀 법률 조사/forensic 영역,보류,HOLD
PC-08,Emergency Purchase Loop,Registered,Unimplemented,C,"구매 RFP 제안 이력, 들러리 제안서 해시, 단가 설계 변경 대장 등 추가 원천 SCM 데이터 필요","rfq_logs, emergency_purchase_approvals_history",N/A,긴급 구매 사유서 승인 결재선 및 일상 구매 RFQ 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-01,Yield Manipulation,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","production_yield_reports, scrap_records",N/A,공장 설비별 실제 제품 수율 보고서 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-02,Defect Concealment,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","shipping_records, qa_defect_logs",N/A,QA 결함 검출 이력 및 출하 통제 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-03,Maintenance Log Fraud,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","maintenance_logs, technician_badge_attendance_logs",N/A,장비 유지보수 작업 일지 및 기술자 게이트 출입 태깅 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-04,Energy Usage Spike,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","utility_bills, smart_meter_logs, production_output_volume",N/A,공장 스마트 미터기 전력 사용 로그 및 에너지 명세 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-05,Non-spec Material Use,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","production_spec_logs, bom_master",N/A,실제 투입 자재 성분표 및 표준 BOM 배합 비율 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-06,Safety Incident Omission,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","insurance_claims_records, internal_incident_logs",N/A,산재 보험 청구 내역 및 사내 안전 사고 대장 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-07,QA Stamp Override,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","lims_system_audit_logs, qa_result_db_updates",N/A,연구소 실험정보관리시스템(LIMS) 변경 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-08,Excessive Down-time,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","machine_downtime_logs, production_run_logs",N/A,설비 비동작 시간 로그 및 생산 실적 대조 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-09,Subcontractor Over-usage,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","subcontractor_work_logs, outsourced_timesheets",N/A,외주 가공 업체 투입 공수 대장 및 작업 증빙 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PQ-10,Storage Condition Breach,Registered,Unimplemented,C,"공장 에너지 검침 스마트 미터 로그, LIMS 실험실 감사 로그, 폐기물 배출량 보고서 등 비재무적 원천 제조 데이터 필수","warehouse_temperature_sensor_logs, humidity_sensor_logs",N/A,보관 창고 온도/습도 IoT 센서 실시간 로그 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PR-01,담합 의심 (Bid-rigging),Registered,Unimplemented,C,"입찰 시스템 로그, 시장 단가 데이터베이스, 선급 계약서 진척 정보 등 추가 원천 데이터 적재 필요","bid_proposal_hashes, rfq_portal_access_logs, vendor_ip_addresses",N/A,구매 입찰 시스템의 제안서 파일 해시값 및 접속 기기 정보(IP) 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PR-02,품의 분할 (Split PO),Registered,Implemented,A,"GL의 분개 금액, 거래 일자, 거래처 정보만으로 단시간 내 PO 분할 탐지 가능","debit_amount, credit_amount, event_date, entity_id (vendor), description",src-tauri/src/flux_engine.rs (FluxEngine::run_correlations),None (Implemented),None (Monitor performance),P1
PR-03,시장가 격차 (Market Price Gap),Registered,Unimplemented,C,"입찰 시스템 로그, 시장 단가 데이터베이스, 선급 계약서 진척 정보 등 추가 원천 데이터 적재 필요","purchase_items_catalog, external_market_benchmark_prices, amount",N/A,외부 원자재/용역 시장 표준 단가표 및 마켓 벤치마크 데이터베이스 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PR-04,Conflict of Interest,Registered,Unimplemented,B,"GL 외에 임직원 관계 레지스트리, 단일 공급원 승인대장 등 보조 마스터 정보 매핑 필요","entity_id (vendor), vendor_address, employee_address_master, relatives_registry",N/A,보조 데이터 모델(임직원 주소 정보 및 친인척 관계도 데이터베이스) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
PR-05,Sole Source Overreliance,Registered,Unimplemented,B,"GL 외에 임직원 관계 레지스트리, 단일 공급원 승인대장 등 보조 마스터 정보 매핑 필요","entity_id (vendor), approved_vendor_list, sole_source_justification_log",N/A,보조 데이터 모델(단일 공급원 예외 승인 이력 데이터베이스) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
PR-06,Zombie Vendor Payments,Registered,Unimplemented,D,국세청 휴폐업 여부 검증용 외부 API 실시간 연동 없이는 정확한 판정 불가,"entity_id (vendor), nts_business_status_api, vendor_master",N/A,국세청 휴폐업 여부 실시간 조회 API 및 연계 마스터 데이터베이스 부재,국세청 사업자 등록 상태 조회 외부 API 연동 기능 개발,P2
PR-07,Kickback Signal,Registered,Unimplemented,B,"GL 외에 임직원 관계 레지스트리, 단일 공급원 승인대장 등 보조 마스터 정보 매핑 필요","entity_id (vendor), approved_vendor_list, kickback_vendor_watch_list",N/A,보조 데이터 모델(집중 감시 거래처 블랙리스트/화이트리스트 정보) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
PR-08,Contract Variation Abuse,Registered,Unimplemented,C,"입찰 시스템 로그, 시장 단가 데이터베이스, 선급 계약서 진척 정보 등 추가 원천 데이터 적재 필요","purchase_order_history, contract_variation_agreement_docs",N/A,계약 변경 합의서 문서 및 누적 단가 인상 이력 상세 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
PR-09,Unauthorized Vendor,Registered,Unimplemented,B,GL의 거래처 정보와 승인된 거래처 화이트리스트(Vendor Master) 간의 비교 매핑 필요,"amount, entity_id (vendor), approved_vendor_list",N/A,보조 데이터 모델(승인 거래처 마스터 - Approved Vendor List) 부재,승인 거래처 마스터 업로드 데이터 모델 설계 및 UI 파이프라인 구축,P0
PR-10,Advance Payment Non-performance,Registered,Unimplemented,C,"입찰 시스템 로그, 시장 단가 데이터베이스, 선급 계약서 진척 정보 등 추가 원천 데이터 적재 필요","project_milestone_reports, project_progress_logs, advance_payments_ledger",N/A,선급금 지급 대장과 연동할 실제 프로젝트 산출물/진척도 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
RV-01,Bill and Hold Scheme,Registered,Unimplemented,C,"실제 출하 내역, 공정 진척 확인서, 고객 인수증 등 추가 원천 증빙 정보 적재 필요","shipping_logs, sales_invoices",N/A,매출 인식 전표와 실제 출하 일자 크로스 매칭용 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
RV-02,Side Letter Agreement,Registered,Unimplemented,E,"서신 내 이면 계약 주관적 정성 검토, 실질 지배력 판단(회계 기준 검토) 및 공정가치 평가는 정성 감사 영역","sales_contracts_text, side_letter_agreements_database",N/A,계약 서신 내 수기로 작성된 이면 합의 조항(반품권 등)에 대한 정성적 비정형 법률 검증 영역,보류,HOLD
RV-03,Round Tripping,Registered,Unimplemented,E,"서신 내 이면 계약 주관적 정성 검토, 실질 지배력 판단(회계 기준 검토) 및 공정가치 평가는 정성 감사 영역","sales_ledger, purchase_ledger, remittance_loops_forensic",N/A,특수관계자 간 실질적 경제 가치 없는 세금계산서 순환 흐름에 대한 정밀 포렌식 감사 영역,보류,HOLD
RV-04,Percentage of Completion Abuse,Registered,Unimplemented,C,"실제 출하 내역, 공정 진척 확인서, 고객 인수증 등 추가 원천 증빙 정보 적재 필요","project_milestone_completion_reports, engineering_specs",N/A,건설/SI 용역의 실제 진행률 검증용 외부 공정률 확인 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
RV-05,Cookie Jar Reserves,Registered,Unimplemented,E,"서신 내 이면 계약 주관적 정성 검토, 실질 지배력 판단(회계 기준 검토) 및 공정가치 평가는 정성 감사 영역","cookie_jar_provisions_analysis, historical_accruals_judgment",N/A,충당부채 설정액의 과대/과소 계상에 대한 회계 법인 수준의 회계 추정 적정성 정성 판단 영역,보류,HOLD
